# col1                    col2        col3         col4     col5     col6     col7     col8     col9     col10    col11    col12    col13   col14   col15   col16   wmin   Starflag  
  EDCSNJ1059255-1253192   10.990404   -12.888673   23.424   -999.0   22.033   22.942   -999.0   21.592   22.833   -999.0   21.542   0       0       0.27    0.03    0.0    0         
  EDCSNJ1059255-1254491   10.990429   -12.913631   25.766   -999.0   24.049   25.513   -999.0   23.926   25.642   -999.0   23.997   0       0       0.48    0.84    0.0    0         
  EDCSNJ1059255-1250209   10.990409   -12.839149   24.571   -999.0   23.452   24.212   -999.0   23.087   23.878   -999.0   22.793   3       3       0.94    0.94    0.0    0         
  EDCSNJ1059255-1249400   10.990411   -12.827787   22.704   -999.0   22.052   22.293   -999.0   21.632   22.215   -999.0   21.533   0       0       0.85    0.03    0.0    0         
  EDCSNJ1059254-1251415   10.990387   -12.861527   25.231   -999.0   24.034   24.884   -999.0   23.472   25.156   -999.0   23.557   0       0       0.76    0.26    0.0    0         
  EDCSNJ1059254-1254069   10.990396   -12.901913   26.021   -999.0   24.477   25.362   -999.0   24.027   25.198   -999.0   23.862   0       0       0.35    0.61    0.0    0         
  EDCSNJ1059254-1254220   10.990394   -12.906102   21.28    -999.0   20.569   21.065   -999.0   20.38    21.034   -999.0   20.358   0       0       0.98    0.98    0.0    0         
  EDCSNJ1059254-1251178   10.990379   -12.854936   24.024   -999.0   22.733   23.639   -999.0   22.359   23.406   -999.0   22.186   2       2       0.97    0.5     0.0    0         
  EDCSNJ1059255-1255019   10.99041    -12.917185   25.18    -999.0   24.571   24.975   -999.0   24.429   24.974   -999.0   24.28    0       0       0.74    0.51    0.0    0         
  EDCSNJ1059254-1253358   10.990377   -12.893276   24.045   -999.0   22.388   23.626   -999.0   22.002   23.372   -999.0   21.831   3       3       0.97    0.05    0.0    0         
  EDCSNJ1059255-1255174   10.990413   -12.921499   21.298   -999.0   20.084   20.591   -999.0   19.411   20.417   -999.0   19.246   0       0       0.03    0.03    0.0    0         
  EDCSNJ1059254-1254538   10.990398   -12.914951   24.238   -999.0   22.95    23.824   -999.0   22.523   23.732   -999.0   22.485   0       0       0.95    0.02    0.0    0         
  EDCSNJ1059254-1254022   10.990379   -12.900624   24.574   -999.0   24.098   24.117   -999.0   23.689   23.897   -999.0   23.455   0       0       0.95    0.83    0.0    0         
  EDCSNJ1059254-1249556   10.990377   -12.832113   25.774   -999.0   24.572   26.076   -999.0   24.618   27.218   -999.0   25.094   0       0       0.51    0.66    0.0    0         
  EDCSNJ1059253-1250005   10.990366   -12.833466   25.99    -999.0   24.862   26.53    -999.0   25.828   29.219   -999.0   99.0     0       0       0.37    0.65    0.0    0         
  EDCSNJ1059254-1254493   10.990375   -12.913707   25.195   -999.0   24.56    24.885   -999.0   24.308   24.954   -999.0   24.297   0       0       0.63    0.62    0.0    0         
  EDCSNJ1059253-1250204   10.990356   -12.838992   25.751   -999.0   24.119   24.85    -999.0   23.756   24.624   -999.0   23.596   3       3       0.39    0.0     0.0    0         
  EDCSNJ1059255-1256014   10.990415   -12.933718   23.532   -999.0   22.545   22.522   -999.0   21.6     22.15    -999.0   21.284   3       3       0.02    0.0     0.0    0         
  EDCSNJ1059252-1251160   10.990341   -12.854433   25.589   -999.0   24.584   24.823   -999.0   24.038   24.5     -999.0   24.096   3       3       0.41    0.59    0.0    0         
  EDCSNJ1059252-1252186   10.990325   -12.871839   26.402   -999.0   24.985   26.489   -999.0   24.662   26.043   -999.0   24.856   0       0       0.36    0.47    0.0    0         
  EDCSNJ1059252-1249236   10.990339   -12.82321    25.927   -999.0   25.061   25.22    -999.0   24.724   25.113   -999.0   25.151   0       0       0.45    0.49    0.0    0         
  EDCSNJ1059252-1251023   10.990324   -12.850629   23.625   -999.0   22.652   23.052   -999.0   22.153   22.922   -999.0   22.069   0       0       0.06    0.02    0.0    0         
  EDCSNJ1059251-1252531   10.990318   -12.88143    25.716   -999.0   24.338   25.293   -999.0   24.113   24.914   -999.0   23.773   0       0       0.36    0.1     0.0    0         
  EDCSNJ1059252-1253361   10.990323   -12.893356   25.847   -999.0   24.64    25.758   -999.0   24.741   25.56    -999.0   24.959   0       0       0.42    0.51    0.0    0         
  EDCSNJ1059253-1255250   10.990362   -12.923606   24.448   -999.0   23.645   24.208   -999.0   23.362   24.0     -999.0   23.445   0       0       0.94    0.71    0.0    0         
  EDCSNJ1059251-1251327   10.990312   -12.859081   25.116   -999.0   24.309   24.758   -999.0   24.064   24.538   -999.0   23.804   0       0       0.67    0.72    0.0    0         
  EDCSNJ1059252-1249250   10.990329   -12.823609   25.794   -999.0   24.958   25.112   -999.0   24.795   24.985   -999.0   25.042   0       0       0.44    0.48    0.0    0         
  EDCSNJ1059251-1253289   10.990314   -12.891374   26.154   -999.0   24.55    26.573   -999.0   24.846   99.0     -999.0   99.0     0       0       0.39    0.26    0.0    0         
  EDCSNJ1059252-1254561   10.990336   -12.915595   25.743   -999.0   24.636   25.663   -999.0   24.399   25.605   -999.0   24.163   0       0       0.39    0.66    0.0    0         
  EDCSNJ1059251-1250144   10.990308   -12.837337   25.062   -999.0   23.636   24.855   -999.0   23.436   24.819   -999.0   23.432   0       0       0.87    0.1     0.0    0         
  EDCSNJ1059251-1250335   10.990304   -12.842627   23.038   -999.0   22.031   22.579   -999.0   21.56    22.507   -999.0   21.463   0       0       0.52    0.03    0.0    0         
